Ana Kamera FlaÅŸ,Ana Kamera Flaş,Ana Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k AralÄ±ÄŸÄ±,Ana Kamera Çözünürlük Aralığı,Arka Kamera SayÄ±sÄ±,Arka Kamera Sayısı,ArttÄ±rÄ±labilir HafÄ±za (HafÄ±za KartÄ± DesteÄŸi),Arttırılabilir Hafıza (Hafıza Kartı Desteği),Ağırlık,Batarya Kapasitesi AralÄ±ÄŸÄ±,Batarya Kapasitesi Aralığı,BaÄŸlantÄ±lar,Bağlantılar,Bluetooth,CPU AralÄ±k,CPU Aralık,Cep Telefonu Modeli,Dahili HafÄ±za,Dahili Hafıza,Dokunmatik Ekran,Ekran Boyut AralÄ±ÄŸÄ±,Ekran Boyut Aralığı,Ekran Boyutu,Ekran Boyutu Aralığı,Ekran Cinsi,Ekran Teknolojisi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Ekran Çözünürlüğü,GPS,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,GÃ¶rÃ¼ntÃ¼ Teknolojisi,GÃ¶rÃ¼ntÃ¼lÃ¼ KonuÅŸma,Görüntü Teknolojisi,Görüntülü Konuşma,Kablosuz Åžarj,Kablosuz Şarj,Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Kamera Çözünürlüğü,Kozmetik Durum,KulaklÄ±k GiriÅŸi,Kulaklık Girişi,Mobil BaÄŸlantÄ± HÄ±zÄ±,Mobil Bağlantı Hızı,NFC,Parmak Ä°zi Okuyucu,Parmak İzi Okuyucu,Pil GÃ¼cÃ¼ (mAh),Pil Gücü (mAh),RAM Kapasitesi,Radio,Renk,Suya/Toza DayanÄ±klÄ±lÄ±k,Suya/Toza Dayanıklılık,Video KayÄ±t Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Video Kayıt Çözünürlüğü,YÃ¼z TanÄ±ma,Yüz Tanıma,Ã–n Kamera FlaÅŸ,Ã–n Kamera SayÄ±sÄ±,Ã–n Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k AralÄ±ÄŸÄ±,Ã–n Kamera Ã‡Ã¶zÃ¼nÃ¼rlÃ¼ÄŸÃ¼,Ã‡ift Hat,Ä°ÅŸlemci MarkasÄ±,Ä°ÅŸletim Sistemi,Åžarj GiriÅŸi,Åžarj HÄ±zÄ±,Çift Hat,Ön Kamera Flaş,Ön Kamera Sayısı,Ön Kamera Çözünürlük Aralığı,Ön Kamera Çözünürlüğü,İşlemci Markası,İşletim Sistemi,Şarj Girişi,Şarj Hızı,url,price,brands
,Var,,40 - 60 MP,,3,,Yok,,,4000-4500 mAh,,Wi-Fi,Var,,,iPhone 14 Pro Max,,256 GB,Var,,6.5'' - 7'',"6,7 inç",,Full HD,FHD+,,120 Hz,,QHD+,Var,,2 Yıl,Apple Türkiye Garantili,,,AMOLED,Var,,Var,,48 MP + 12 MP + 12 MP,,,Lightning,,5G,Var,,Var,,4323,6 GB,Yok,Mor,,Var,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Var,Var,1,10 - 15 MP,12 MP,Apple,iOS,Lightning,20-40 W,https://www.trendyol.com//apple/iphone-14-pro-max-256-gb-derin-mor-p-355707159,88.975 TL,Apple
,,,12 MP,,,,,,,,,,,,,,,16 GB,,,,6 inç ve üstü,,,,,,,,,,1 Yıl,,,,,,,,,,A seviye-Mükemmel,,,,,,,,,,4 GB,,Pembe,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-6s-16-gb-gul-altin-a-grade-p-689222831,2.559 TL,Apple
,,,60 - 80 MP,,4,,,,,4500-5000 mAh,,,,,,Galaxy A23,,128 GB,Var,,6.5'' - 7'',6 inç ve üstü,,,,,,,,,,2 Yıl,Samsung TR Garantili,,,,,,,,20 MP ve üstü,,,3.5 mm,,4.5G,Yok,,,,5000 ve üstü,6 GB,,Mavi,,Var,,,,,,,,,,,,,,Yok,,1,5 - 10 MP,,,Android,USB Type-C,,https://www.trendyol.com//samsung/galaxy-a23-128-gb-6-gb-ram-mavi-cep-telefonu-samsung-turkiye-garantili-p-364172873,9.199 TL,Samsung
,,,40 - 60 MP,,3,,,,,5000-6000 mAh,,,,,,Oppo A55,,128 GB,Var,,6.5'' - 7'',"4 - 4,5 inç",,AMOLED,,,,,,,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,5 MP ve altı,,,3.5 mm,,4.5G,Var,,,,1500 ve altı,4 GB,,Siyah,,Var,,,,,,,,,,,,,,Yok,,1,15 - 20 MP,,,Android,USB Type-C,,https://www.trendyol.com//oppo/a55-128-gb-4-gb-ram-yildizli-siyah-cep-telefonu-oppo-turkiye-garantili-p-313698389,8.499 TL,Oppo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//omix/x700-128-gb-8gb-ram-graphite-omix-turkiye-garantili-p-736250872,8.159 TL,omix
Var,,10 - 15 MP,,2,,Yok,,,3000-3500 mAh,,Wireless,,Var,1.5-2.0 GHz,,iPhone 14,256 GB,,Var,6'' - 6.5'',,"6,1 inÃ§",,FHD SÃ¼per AMOLED,Dinamik AMOLED,120 Hz,,FHD+,,Var,2 YÄ±l,,Apple TÃ¼rkiye Garantili,AMOLED,Var,,,Var,,12 MP + 12 MP,,,Lightning,,5G,,Var,Var,,3279,,6 GB,Var,Beyaz,Var,,1080p (Full HD),,Var,,Var,1,10 - 15 MP,12 MP,Var,Apple,iOS,Lightning,20-40 W,,,,,,,,,,https://www.trendyol.com//apple/iphone-14-256-gb-yildiz-isigi-cep-telefonu-p-355707120,49.631 TL,Apple
,,,40 - 60 MP,,3,,,,,4500-5000 mAh,,,,,,,,128 GB,Var,,6.5'' - 7'',"4 - 4,5 inç",,,,,,,,,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,5 MP ve altı,,,3.5 mm,,4.5G,Var,,,,1500 ve altı,4 GB,,Mavi,,Yok,,,,,,,,,,,,,,Var,,1,5 - 10 MP,,,Android,Lightning,,https://www.trendyol.com//tcl/30se-128-gb-telefon-mavi-p-353514349,4.399 TL,TCL
,Var,,10 - 15 MP,,2,,Var,150 gr,,4000-4500 mAh,,,Var,,2.0-2.5 GHz,,,32 GB,Var,,,6 - 8 inç,"6""-6.5""",PLS,HD,,60 Hz,,HD+,Var,,1 Yıl,,,,LCD,Var,,Yok,,10 - 15 MP,,,3.5 mm,,4.5G,Yok,,Var,,3000 - 4000,2 GB,Var,Siyah,,Yok,,1080p (Full HD),,Yok,,,,,,,,,,Yok,Yok,1,5 - 10 MP,8 - 14 MP,,,Micro-USB,,https://www.trendyol.com//samsung/a10s-32-gb-siyah-yenilenmis-cep-telefonu-12-ay-ritzy-garantili-p-639572090,2.999 TL,Samsung
,Var,,40 - 60 MP,,3,,Var,,,5000-6000 mAh,,Wi-Fi,Var,,2.0-2.5 GHz,,,64 GB,Var,,6'' - 6.5'',6 inç ve üstü,,LCD,FHD+,,60 Hz,,FHD+,Var,,2 Yıl,Xiaomi Türkiye Garantili,,,AMOLED,Var,,Yok,,20 MP ve üstü,,,3.5 mm,,4.5G,Var,,Var,,4000 - 5000,6 GB,Var,Kırmızı,,Yok,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Var,Yok,1,15 - 20 MP,8 MP ve üstü,,Android,USB Type-C,10-20 W,https://www.trendyol.com//xiaomi/mi-9t-128-gb-kirmizi-cep-telefonu-xiaomi-turkiye-garantili-p-31172061,10.999 TL,Xiaomi
,,,10 - 15 MP,,,,,,,,,,,,,,,64 GB,,,,"5 - 5,5 inç",,,,,,,,,,1 Yıl,,,,,,,,,,B seviye-Çok İyi,,,,,,,,,,4 GB,,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-xr-64gb-white-cep-telefonu-12-ay-garantili-b-kalite-p-748871720,14.199 TL,Apple
,Var,,10 - 15 MP,,2,,Yok,,,2000-3000 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,iPhone 12,,64 GB,Var,,6'' - 6.5'',"6,1 inç",,OLED,FHD+,,60 Hz,,FHD+,Var,,2 Yıl,Apple Türkiye Garantili,,,OLED,Var,,Var,,10 - 15 MP,,,Lightning,,4.5G,Var,,Yok,,2815,4 GB,Yok,Kırmızı,,Var,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Yok,Yok,1,10 - 15 MP,8 - 14 MP,Apple,iOS,Lightning,10-20 W,https://www.trendyol.com//apple/iphone-12-64-gb-kirmizi-cep-telefonu-aksesuarsiz-kutu-apple-turkiye-garantili-p-54706436,27.827 TL,Apple
,,,10 - 15 MP,,2,,,,,5000-6000 mAh,,,,,,,,64 GB,Var,,6.5'' - 7'',"4 - 4,5 inç",,,,,,,,,,2 Yıl,KVK Garantili,,,,,,,,5 MP ve altı,,,3.5 mm,,4G,Yok,,,,1500 ve altı,4 GB,,Siyah,,Yok,,,,,,,,,,,,,,Var,,1,5 - 10 MP,,,Android,USB Type-C,,https://www.trendyol.com//vivo/y16-64-gb-4-gb-ram-siyah-cep-telefonu-vivo-turkiye-garantili-p-442419658,4.800 TL,vivo
,,,,,,,,,,,,,,,,,,128 GB,,,,,,,,,,,,,,1 Yıl,,,,,,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//samsung/yenilenmis-galaxy-a31-128-gb-black-cep-telefonu-12-ay-garantili-p-675055411,5.495 TL,Samsung
,,,40 - 60 MP,,4,,Var,,,4500-5000 mAh,,Wi-Fi,Var,,2.0-2.5 GHz,,,64 GB,Var,,6'' - 6.5'',6 inç ve üstü,,PLS,HD+,,60 Hz,,HD+,Var,,2 Yıl,Samsung TR Garantili,,,,,,Yok,,20 MP ve üstü,,,3.5 mm,,4.5G,Yok,,Var,,4000 - 5000,4 GB,Var,Siyah,,Yok,,1080p (Full HD),,Var,,,,,,,,,,Var,,1,5 - 10 MP,5 - 8 MP,,Android,USB Type-C,10-20 W,https://www.trendyol.com//samsung/galaxy-a12-64-gb-siyah-cep-telefonu-samsung-turkiye-garantili-p-80138493,6.334 TL,Samsung
,Var,,40 - 60 MP,,4,,,,,3500-4000 mAh,,,Var,,1.5-2.0 GHz,Redmi Note 8,,64 GB,Var,,6'' - 6.5'',6 inç ve üstü,,LCD,,,60 Hz,,FHD+,Var,,2 Yıl,Xiaomi Türkiye Garantili,,,LCD,Var,,Yok,,10 - 15 MP,,,3.5 mm,,4.5G,Yok,,Var,,3000 - 4000,4 GB,Var,Siyah,,Yok,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Var,Yok,1,10 - 15 MP,8 MP ve üstü,,Android,USB Type-C,10-20 W,https://www.trendyol.com//xiaomi/redmi-note-8-64-gb-4-gb-ram-siyah-cep-telefonu-xiaomi-turkiye-garantili-p-31883160,5.449 TL,Xiaomi
,Var,,60 - 80 MP,,2,,,,,5000-6000 mAh,,,Var,,,,,256 GB,Var,,6.5'' - 7'',"6,7 inç",,LCD,FHD+,,90 Hz,,FHD+,Var,,2 Yıl,Resmi Distribütör Garantili,,,LCD,Var,,Yok,,64 MP + 8 MP + 5 MP + 5 MP,,,3.5 mm,,4.5G,Var,,Var,,5000,16 GB,Var,Sarı,,Var,,1080p (Full HD),,Var,,,,,,,,,,Var,Yok,1,15 - 20 MP,20 - 40 MP,MediaTek,Android,USB Type-C,10-20 W,https://www.trendyol.com//realme/c55-nfc-16-gb-ram-8gb-8gb-a-kadar-dinamik-ram-256gb-turkiye-garantili-p-743758516,9.199 TL,realme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//vivo/y16-32-gb-3-gb-ram-sari-cep-telefonu-vivo-turkiye-garantili-p-670365110,3.999 TL,vivo
,,,10 - 15 MP,,2,,,,,5000-6000 mAh,,,,,,,,64 GB,Var,,6.5'' - 7'',"4 - 4,5 inç",,,,,,,,,,2 Yıl,KVK Garantili,,,,,,,,5 MP ve altı,,,3.5 mm,,4G,Yok,,,,1500 ve altı,4 GB,,Altın,,Yok,,,,,,,,,,,,,,Var,,1,5 - 10 MP,,,Android,USB Type-C,,https://www.trendyol.com//vivo/y16-64-gb-4-gb-ram-altin-cep-telefonu-vivo-turkiye-garantili-p-382965418,4.940 TL,vivo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-7-plus-128-gb-gumus-a-grade-p-689224353,6.549 TL,Apple
,Var,,10 - 15 MP,,2,,Yok,,,2000-3000 mAh,,Wi-Fi,Var,,2.5-3.2 GHz,iPhone 12 Mini,,64 GB,Var,,5'' - 5.5'',"5 - 5,5 inç",,OLED,Dinamik AMOLED,,60 Hz,,FHD+,Var,,2 Yıl,Apple Türkiye Garantili,,,OLED,Var,,Yok,,10 - 15 MP,,,Lightning,,5G,Var,,Yok,,1800 - 2400,4 GB,Yok,Siyah,,Var,,2160p (Ultra HD) 4K,,Var,,,,,,,,,,Yok,Yok,1,10 - 15 MP,10 - 20 MP,Apple,iOS,Lightning,10-20 W,https://www.trendyol.com//apple/iphone-12-mini-64-gb-siyah-cep-telefonu-apple-turkiye-garantili-p-65092513,34.999 TL,Apple
,,,60 - 80 MP,,3,,,,,4500-5000 mAh,,,,,,,,256 GB,Var,,6.5'' - 7'',"4 - 4,5 inç",,,,,,,,,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,5 MP ve altı,,,3.5 mm,,5G,Var,,,,1500 ve altı,12 GB,,Sarı,,Var,,,,,,,,,,,,,,Var,,1,20 - 40 MP,,,Android,USB Type-C,,https://www.trendyol.com//poco/f4-gt-12gb-256-gb-sari-cep-telefonu-xiaomi-turkiye-garantili-p-305651992,42.599 TL,POCO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//xiaomi/redmi-9c-32-gb-2-gb-ram-gri-cep-telefonu-xiaomi-turkiye-garantili-p-120919979,4.600 TL,Xiaomi
,,,60 - 80 MP,,,,,,,,,,,,,,,128 GB,,,,"6,67 inç",,,,,,,,,,1 Yıl,,,,,,,,,,B seviye-Çok İyi,,,,,,,,,,6 GB,,Beyaz,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//xiaomi/yenilenmis-xiaomi-redmi-note-9-pro-128gb-beyaz-b-kalite-p-769900715,5.799 TL,Xiaomi
,,,,,,,,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beyaz,,,,,,Var,,,,,,,,,,Yok,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-x-64-gb-silver-cep-telefonu-12-ay-garantili-p-168319391,13.390 TL,Apple
,,,10 - 15 MP,,1,,,,,5000-6000 mAh,,,,,,,,16 GB,Var,,,,,,,,,,,,,1 Yıl,Delta Servis Garantili,,,,,,,,,,,3.5 mm,,3G,Yok,,,,,4 GB,,Pembe,,Yok,,,,,,,,,,,,,,Yok,,1,10 - 15 MP,,,,USB Type-C,,https://www.trendyol.com//apple/yenilenmis-iphone-6s-plus-16-gb-rose-gold-12-ay-garantili-p-306887758,3.499 TL,Apple
Var,,60 - 80 MP,,4,,,,,4500-5000 mAh,,,,Var,2.0-2.5 GHz,,Redmi Note 9 Pro,128 GB,,Var,6.5'' - 7'',,6 inÃ§ ve Ã¼stÃ¼,,LCD,,60 Hz,,FHD+,,Var,2 YÄ±l,,Xiaomi TÃ¼rkiye Garantili,LCD,Var,,,Yok,,20 MP ve Ã¼stÃ¼,,,3.5 mm,,4.5G,,Var,Var,,5000 ve Ã¼stÃ¼,,6 GB,Var,Beyaz,Yok,,2160p (Ultra HD) 4K,,Var,,Yok,1,15 - 20 MP,1.6 MP - 2 MP,Var,,Android,USB Type-C,20-40 W,,,,,,,,,,https://www.trendyol.com//xiaomi/redmi-note-9-pro-6-gb-128-gb-akilli-cep-telefonu-beyaz-xiaomi-turkiye-garantili-p-40929876,"8.974,01 TL",Xiaomi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-11-pro-64-gb-gece-yarisi-yesili-cep-telefonu-12-ay-garantili-b-kalite-p-689222585,23.399 TL,Apple
,Var,,40 - 60 MP,,4,,Var,,,4500-5000 mAh,,Wi-Fi,Var,,1.5-2.0 GHz,,,64 GB,Var,,6'' - 6.5'',6 inç ve üstü,,LCD,HD+,,90 Hz,,HD+,Var,,2 Yıl,Samsung TR Garantili,,,,Var,,Yok,,20 MP ve üstü,,,3.5 mm,,4.5G,Yok,,Var,,4000 - 5000,4 GB,Var,Mavi,,Yok,,1080p (Full HD),,Var,,,,,,,,,,Var,Var,4,5 - 10 MP,5 - 8 MP,Samsung,Android,USB Type-C,10-20 W,https://www.trendyol.com//samsung/galaxy-m12-64-gb-mavi-cep-telefonu-samsung-turkiye-garantili-p-111230774,6.500 TL,Samsung
,,,15 - 20 MP,,2,,Var,,,4500-5000 mAh,,,,,,,,32 GB,Var,,6'' - 6.5'',"4 - 4,5 inç",,LCD,HD+,,,,,,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,5 MP ve altı,,,3.5 mm,,4.5G,Yok,,,,1500 ve altı,3 GB,,Mavi,,Yok,,,,,,,,,,,,,,Var,,1,5 - 10 MP,,,Android,Micro-USB,,https://www.trendyol.com//vivo/y15s-32-gb-dalga-yesili-cep-telefonu-vivo-turkiye-garantili-p-279831399,3.699 TL,vivo
,,,,,,,,,,,,,,,,,,256 GB,,,,,,,,,,,,,,6 Ay,,,,,,,,,,,,,,,,,,,,,,Gri,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-11-pro-256-gb-uzay-gri-cep-telefonu-12-ay-garantili-p-347966812,26.499 TL,Apple
,,,,,,,,,,,,,,,,,,256 GB,,,,,,,,,,,,,,1 Yıl,,,,,,,,,,,,,,,,,,,,,,Gümüş,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//samsung/note-10-256-gb-aura-silver-b-kalite-yenilenmis-p-679842735,14.499 TL,Samsung
,Var,,40 - 60 MP,,3,,,,,4500-5000 mAh,,Bluetooth,Var,,,Galaxy S23 Plus,,256 GB,Var,,6.5'' - 7'',"6,7 inç",,,Dinamik AMOLED,,120 Hz,,FHD+,Var,,2 Yıl,Resmi Distribütör Garantili,,,AMOLED,Var,,Var,,5 MP ve altı,,,USB Type-C,,5G,Var,,Var,,4000 - 5000,8 GB,Var,Yeşil,,Var,,,,Var,,,,,,,,,,Var,,1,40 - 60 MP,12 MP,Qualcomm,Android,USB Type-C,40-60 W,https://www.trendyol.com//samsung/galaxy-s23-plus-256-gb-yesil-cep-telefonu-samsung-turkiye-garantili-p-662748012,39.275 TL,Samsung
,,,15 - 20 MP,,2,,Yok,,,2000-3000 mAh,,,,,,iPhone 13 Mini,,128 GB,Var,,5'' - 5.5'',"5,4 inç",,OLED,QLED,,,,,,,2 Yıl,Apple Türkiye Garantili,,,,,,,,5 - 10 MP,,,Lightning,,5G,Var,,,,3000 - 4000,4 GB,,Beyaz,,Var,,,,,,,,,,,,,,Var,,1,15 - 20 MP,,Apple,iOS,Lightning,,https://www.trendyol.com//apple/iphone-13-mini-128-gb-yildiz-isigi-cep-telefonu-apple-turkiye-garantili-p-151516778,42.999 TL,Apple
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//tecno/spark-10-128-gb-8-gb-ram-beyaz-cep-telefonu-tecno-turkiye-garantili-p-771820324,6.469 TL,Tecno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//vivo/y27-128-gb-6-gb-ram-koyu-bordo-cep-telefonu-p-775776847,6.640 TL,vivo
,,,40 - 60 MP,,3,,Var,,,5000-6000 mAh,,,,,,,,128 GB,Var,,7'' Üstü,"4 - 4,5 inç",,Super AMOLED,Dinamik AMOLED,,,,,Var,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,5 MP ve altı,,,3.5 mm,,4.5G,Var,,,,1500 ve altı,4 GB,,Siyah,,Var,,,,,,,,,,,,,,Var,,1,15 - 20 MP,,,Android,USB Type-C,,https://www.trendyol.com//zte/blade-v30-128-gb-4gb-ram-vita-turkiye-garantili-siyah-p-346513032,4.235 TL,ZTE
,,12 MP,,,,,,,,,,,,,,,64 GB,,,,,"4,7 inÃ§",,,,,,,,,1 YÄ±l,,,,,,,,,,,B seviye-Ã‡ok Ä°yi,,,,,,,,,,2 GB,,GÃ¼mÃ¼ÅŸ,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-8-64-gb-gumus-cep-telefonu-12-ay-garantili-b-kalite-p-741542738,6.999 TL,Apple
,,,12 MP,,,,,,,,,,Var,,,,,128 GB,,,,"5 - 5,5 inç",,,,,,,,,,1 Yıl,,,,,,,,,,A seviye-Mükemmel,,,,,,,,,,2 GB,,Mavi,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//samsung/galaxy-s20-128gb-gri-yenilenmis-iyi-p-769293348,12.409 TL,Samsung
,Var,,40 - 60 MP,,3,,Var,,,5000-6000 mAh,,Wi-Fi,Var,,2.0-2.5 GHz,,,256 GB,Var,,6.5'' - 7'',"6,7 inç",,AMOLED,FHD+,,60 Hz,,FHD+,Var,,2 Yıl,KVK Garantili,,,AMOLED,Var,,Yok,,20 MP ve üstü,,,3.5 mm,,4.5G,Yok,,Var,,5000 ve üstü,8 GB,Var,Mavi,,Yok,,1440p (Quad HD),,Var,,,,,,,,,,Var,Var,1,15 - 20 MP,10 - 20 MP,MediaTek,Android,USB Type-C,,https://www.trendyol.com//infinix/note-12-256-gb-cep-telefonu-turkiye-garantili-p-444119891,7.469 TL,INFINIX
,,,15 - 20 MP,,,,,,,,,,,,,,,128 GB,,,,14 inç,,,,,,,,,,1 Yıl,,,,,,,,,,B seviye-Çok İyi,,,,,,,,,,6 GB,,Mavi,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//poco/x3-pro-128gb-mavi-b-grade-yenilenmis-cep-telefonu-12-ay-garantili-p-787808053,7.599 TL,POCO
,,,12 MP,,,,,,,,,,,,,,,64 GB,,,,"4,7 inç",,,,,,,,,,1 Yıl,,,,,,,,,,B seviye-Çok İyi,,,,,,,,,,3 GB,,Kırmızı,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-se-2020-64-gb-kirmizi-cep-telefonu-12-ay-garantili-b-kalite-p-741576700,9.249 TL,Apple
,,,100 -120 MP,,3,,,,,5000-6000 mAh,,,,,,,,256 GB,Var,,6.5'' - 7'',"4 - 4,5 inç",,,,,,,,,,2 Yıl,Xiaomi Türkiye Garantili,,,,,,,,5 MP ve altı,,,USB Type-C,,5G,Var,,,,1500 ve altı,8 GB,,Mavi,,Var,,,,,,,,,,,,,,Var,,1,20 - 40 MP,,,Android,USB Type-C,,https://www.trendyol.com//xiaomi/12t-256-gb-8-gb-ram-mavi-cep-telefonu-xiaomi-turkiye-garantili-p-374908429,25.997 TL,Xiaomi
,,,60 - 80 MP,,2,,,,,4500-5000 mAh,,,,,,,,256 GB,Var,,6.5'' - 7'',"4 - 4,5 inç",,,,,,,,,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,5 MP ve altı,,,USB Type-C,,5G,Var,,,,1500 ve altı,12 GB,,Beyaz,,Yok,,,,,,,,,,,,,,Var,,2,40 - 60 MP,,,Android,USB Type-C,,https://www.trendyol.com//realme/gt2-pro-rmx3301-12gb-256-gb-paper-white-p-676310233,22.999 TL,realme
,,,60 - 80 MP,,2,,,,,4500-5000 mAh,,,,,,,,256 GB,Var,,6.5'' - 7'',"4 - 4,5 inç",,,,,,,,,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,5 MP ve altı,,,USB Type-C,,5G,Var,,,,1500 ve altı,12 GB,,Beyaz,,Yok,,,,,,,,,,,,,,Var,,2,40 - 60 MP,,,Android,USB Type-C,,https://www.trendyol.com//realme/gt2-pro-rmx3301-12gb-256-gb-paper-white-p-676310233,22.999 TL,realme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/yenilenmis-iphone-7-plus-128-gb-rose-gold-cep-telefonu-12-ay-garantili-a-kalite-p-689227665,6.839 TL,Apple
,,,12 MP,,,,,,,,,,,,,,,32 GB,Var,,,"6,4 inç",,LCD,,,,,,,,1 Yıl,İthalatçı Garantili,,,,,,,,10 - 15 MP,B seviye-Çok İyi,,,,,Var,,Var,,4000 - 5000,2 GB,,Siyah,,Var,,,,,,,,,,,,,,Var,,,,1.6 MP - 2 MP,,,USB Type-C,,https://www.trendyol.com//samsung/yenilenmis-galaxy-a10s-32-gb-12-ay-garantili-p-666040050,2.949 TL,Samsung
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/a319-turkiye-garantili-p-207975592,2.499 TL,LENOVO
,,,100 -120 MP,,,,,,,,,,,,,,,128 GB,,,,"6,7 inç",,,,,,,,,,1 Yıl,,,,,,,,,,A seviye-Mükemmel,,,,,,,,,,8 GB,,Yeşil,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//samsung/yenilenmis-samsung-galaxy-a73-128gb-yesil-b-kalite-p-783291133,13.499 TL,Samsung
,Var,,40 - 60 MP,,3,,Var,150 gr,,3000-3500 mAh,,,Var,,,,,128 GB,Var,,,6 - 8 inç,"6""-6.5""",LCD,FHD+,,,,FHD+,Var,,1 Yıl,,,,,Var,,Var,,20 MP ve üstü,,,3.5 mm,,5G,Var,,Var,,3000 - 4000,4 GB,Var,Mavi,,Yok,,1080p (Full HD),,Yok,,,,,,,,,,Var,Yok,1,20 - 40 MP,20 - 40 MP,,,USB Type-C,10-20 W,https://www.trendyol.com//huawei/p30-lite-128-gb-mavi-yenilenmis-cep-telefonu-12-ay-ritzy-garantili-p-455308919,5.999 TL,Huawei
,,,10 - 15 MP,,3,,,,,5000-6000 mAh,,,,,,,,64 GB,Var,,6.5'' - 7'',"4 - 4,5 inç",,,,,,,,,,2 Yıl,Resmi Distribütör Garantili,,,,,,,,5 MP ve altı,,,3.5 mm,,4.5G,Yok,,,,1500 ve altı,4 GB,,Beyaz,,Yok,,,,,,,,,,,,,,Var,,1,5 - 10 MP,,,Android,USB Type-C,,https://www.trendyol.com//vivo/y21-64-gb-inci-beyazi-cep-telefonu-vivo-turkiye-garantili-p-263292754,4.816 TL,vivo
